test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance,miss_distance_at_closest_approach_if_no_avoidance,miss_distance_at_closest_approach_if_avoidance
0,0.0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-50.0,1000.0,0.0,-30.0,1000.0,-2138.447021484375,35564.03125,1000.0,-4312.6904296875,17172.091796875,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,-0.0811765193939209,99.99897766113281,0.0,-0.3200725018978119,49.99870681762695,0.0,True,False,0,529.9913330078125,nan,0.0
1,180.0,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,3155.299560546875,7922.41455078125,1000.0,-3213.436279296875,-9472.8310546875,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,-0.3198716342449188,49.99885559082031,0.0,0.2620075047016144,-49.99850082397461,0.0,True,False,0,5378.0244140625,nan,0.0
2,180.0,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-5.0,1000.0,0.0,10.0,1000.0,-4271.412109375,2070.610107421875,1000.0,2144.17333984375,-15310.9111328125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.9432681798934937,49.99063491821289,0.0,-0.38460585474967957,-99.99861145019531,0.0,True,False,0,6517.54638671875,nan,0.0
3,0.001,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,60.0,2000060.0,1000.0,-60.0,1999940.0,1000.0,0.07406754046678543,-50.00031661987305,1000.0,-0.0821886658668518,-30.013063430786133,1000.0,-3026.7255859375,28753.357421875,1000.0,6104.2880859375,12636.435546875,1000.0,-0.082552969455719,99.99986267089844,0.0,0.08255449682474136,49.99916458129883,0.0,0.5481873750686646,99.9980239868164,0.0,-0.3695339858531952,49.99769973754883,0.0,True,False,0,5644.5517578125,nan,0.980498194694519
4,180.001,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.07411590218544006,-5.015205383300781,1000.0,-0.08237135410308838,10.015110969543457,1000.0,-4523.4892578125,8081.15234375,1000.0,4523.4892578125,-8081.15234375,1000.0,-0.08255449682474136,49.99905776977539,0.0,0.08255449682474136,-49.99905776977539,0.0,0.5090433359146118,49.99691390991211,0.0,-0.5090433359146118,-49.99691390991211,0.0,True,False,0,6485.576171875,nan,1.4009349346160889
5,180.001,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.07411590218544006,-5.015205383300781,1000.0,-0.07418256253004074,10.000368118286133,1000.0,-6080.263671875,3077.58642578125,1000.0,3018.290771484375,-13059.5947265625,1000.0,-0.07429953664541245,49.99906921386719,0.0,0.07429800927639008,-99.99987030029297,0.0,1.1798616647720337,49.98554611206055,0.0,-0.5749369263648987,-99.99744415283203,0.0,True,False,0,5690.82958984375,nan,4.819301128387451
6,1.2037375219194275,0.0,-713986.625,4078.872802734375,14999.1728515625,-713829.0625,4078.872802734375,0.0,107.22048950195312,0.0,-2.2524490356445312,107.19682312011719,0.0,0.0,71398664.0,1738.001708984375,-1499917.25,71382904.0,1738.001708984375,0.0,583321.875,4049.343505859375,-12258.9658203125,583436.875,4049.343505859375,-15.57848834991455,583321.8125,4052.52734375,-12299.2255859375,583438.125,4052.316650390625,0.0,107.22048950195312,-0.0016938227927312255,-2.2524490356445312,107.19682312011719,-0.0016938233748078346,0.08030397444963455,107.21963500976562,-0.0016724844463169575,-2.1698853969573975,107.1990737915039,-0.0016785853076726198,False,False,135.86172485351562,135.8360137939453,nan,59.819313049316406
7,30.144070680723818,0.0,-28842.46484375,4776.84130859375,14483.9951171875,-24941.966796875,4776.84130859375,0.0,83.51343536376953,0.0,-41.938446044921875,72.21952819824219,0.0,0.0,2884246.5,4526.06201171875,-1448399.5,2494196.5,4526.06201171875,0.0,-29.69141960144043,4775.16064453125,15.953169822692871,-25.599000930786133,4775.16064453125,-1187.4927978515625,35598.28125,4773.1337890625,-18893.419921875,30167.369140625,4772.6328125,0.0,83.51343536376953,-0.0057969409972429276,-41.938446044921875,72.21952819824219,-0.005796943325549364,0.035305894911289215,83.51286315917969,-0.005843273364007473,-41.911373138427734,72.23536682128906,-0.00731703033670783,True,False,0,582.3856811523438,nan,0.3144531548023224
8,34.720764954478526,0.0,-25135.65625,1296.7010498046875,14316.703125,-20659.943359375,1296.7010498046875,0.0,89.81027221679688,0.0,-51.15390396118164,73.81844329833984,0.0,0.0,2513565.75,3460.077880859375,-1431670.25,2065994.25,3460.077880859375,0.0,-24.909605026245117,1317.393798828125,19.467830657958984,-27.146102905273438,1317.3863525390625,-1364.1107177734375,31036.392578125,1339.935546875,-18771.380859375,24707.49609375,1348.3157958984375,0.0,89.81027221679688,0.07506375014781952,-51.15390396118164,73.81844329833984,0.07506376504898071,0.04837220907211304,89.81039428710938,0.07514816522598267,-51.11311340332031,73.84671783447266,0.07795444875955582,True,False,0,765.8137817382812,nan,0.955810546875
9,37.185379894082416,0.0,-23522.888671875,1838.2052001953125,14217.13671875,-18740.3125,1838.2052001953125,0.0,53.78727722167969,0.0,-32.50880813598633,42.85147476196289,0.0,0.0,2352289.0,3276.6650390625,-1421713.625,1874031.375,3276.6650390625,0.0,-27.976322174072266,1852.0145263671875,16.942928314208984,-22.750654220581055,1852.0145263671875,1426.8328857421875,29022.837890625,1872.5450439453125,-16411.859375,24039.935546875,1866.5186767578125,0.0,53.78727722167969,0.03166896477341652,-32.50880813598633,42.85147476196289,0.031668975949287415,-0.0320989228785038,53.78721618652344,0.03344038873910904,-32.64310073852539,42.749267578125,0.03174196928739548,True,False,0,874.12451171875,nan,0.2175292819738388
