test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance,miss_distance_at_closest_approach_if_no_avoidance,miss_distance_at_closest_approach_if_avoidance
0,0.0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-50.0,1000.0,0.0,-30.0,1000.0,-2143.761474609375,33464.8984375,1000.0,4315.83056640625,16107.0966796875,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.11019878834486008,99.999755859375,0.0,-0.522968053817749,49.99640655517578,0.0,True,False,0,4108.2685546875,nan,0.0
1,180.0,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,3151.685546875,8487.4140625,1000.0,3210.037109375,-10037.8310546875,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,-0.3198716342449188,49.99885559082031,0.0,-0.32987985014915466,-49.99793243408203,0.0,True,False,0,923.3028564453125,nan,0.0
2,180.0,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-5.0,1000.0,0.0,10.0,1000.0,4327.83447265625,5536.966796875,1000.0,2155.400146484375,-12860.9111328125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,-0.25076261162757874,49.999000549316406,0.0,-0.3567345440387726,-99.99896240234375,0.0,True,False,0,499.167236328125,nan,0.0
3,0.001,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,60.0,2000060.0,1000.0,-60.0,1999940.0,1000.0,0.07406754046678543,-50.00031661987305,1000.0,-0.0821886658668518,-30.013063430786133,1000.0,-3026.7255859375,28753.357421875,1000.0,6104.2880859375,12636.435546875,1000.0,-0.082552969455719,99.99986267089844,0.0,0.08255449682474136,49.99916458129883,0.0,0.5481873750686646,99.9980239868164,0.0,-0.3695339858531952,49.99769973754883,0.0,True,False,0,5644.5517578125,nan,0.980498194694519
4,180.001,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.07411590218544006,-5.015205383300781,1000.0,-0.08237135410308838,10.015110969543457,1000.0,-4523.4892578125,8081.15234375,1000.0,4523.4892578125,-8081.15234375,1000.0,-0.08255449682474136,49.99905776977539,0.0,0.08255449682474136,-49.99905776977539,0.0,0.5090433359146118,49.99691390991211,0.0,-0.5090433359146118,-49.99691390991211,0.0,True,False,0,6485.576171875,nan,1.4009349346160889
5,180.001,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.07411590218544006,-5.015205383300781,1000.0,-0.07418256253004074,10.000368118286133,1000.0,-6080.263671875,3077.58642578125,1000.0,3018.290771484375,-13059.5947265625,1000.0,-0.07429953664541245,49.99906921386719,0.0,0.07429800927639008,-99.99987030029297,0.0,1.1798616647720337,49.98554611206055,0.0,-0.5749369263648987,-99.99744415283203,0.0,True,False,0,5690.82958984375,nan,4.819301128387451
6,0.6513921683521512,0.0,-1319391.5,1328.5343017578125,14999.7578125,-1319306.25,1328.5343017578125,0.0,50.78630065917969,0.0,-0.5773738622665405,50.783016204833984,0.0,0.0,131939152.0,4762.1650390625,-1499975.75,131930632.0,4762.1650390625,0.0,-703728.875,1328.5343017578125,8030.3828125,-703644.6875,1328.5343017578125,-0.07438461482524872,-703728.875,1328.5343017578125,8021.3544921875,-703644.6875,1328.5343017578125,0.0,50.78630065917969,0.0004404462524689734,-0.5773738622665405,50.783016204833984,0.00044044616515748203,-0.08255064487457275,50.78569030761719,0.00044079433428123593,-0.6598214507102966,50.781524658203125,0.00044079424696974456,False,False,8031.3427734375,8022.38916015625,nan,31.514450073242188
7,2.0162006665800845,0.0,-426287.4375,2234.087890625,14997.6787109375,-426023.53125,2234.087890625,0.0,58.93418502807617,0.0,-2.0734269618988037,58.89769744873047,0.0,0.0,42628744.0,1603.394775390625,-1499767.875,42602356.0,1603.394775390625,0.0,286812.375,2234.087890625,-10075.560546875,286001.8125,2234.087890625,-50.64886474609375,286812.46875,2234.087890625,-10002.7587890625,286000.5,2234.087890625,0.0,58.93418502807617,0.0,-2.0734269618988037,58.89769744873047,0.0,0.048888444900512695,58.93505096435547,0.0,-2.155874490737915,58.89481735229492,0.0,False,False,644.1099243164062,643.0455932617188,nan,767.3578491210938
8,4.015089999722617,0.0,-214095.46875,3259.696044921875,14990.79296875,-213570.0,3259.696044921875,0.0,113.38198852539062,0.0,-7.938916206359863,113.10371398925781,0.0,0.0,21409546.0,1273.67138671875,-1499079.375,21357000.0,1273.67138671875,0.0,-236.6861572265625,3245.889892578125,17.854652404785156,-244.56793212890625,3245.889892578125,161.8285369873047,-316.12982177734375,3244.0478515625,180.61123657226562,-310.0746154785156,3245.093994140625,0.0,113.38198852539062,-0.008497259579598904,-7.938916206359863,113.10371398925781,-0.008497255854308605,-0.0013234334765002131,113.38158416748047,-0.012408939190208912,-7.730634689331055,113.11803436279297,-0.011566219851374626,True,True,0,0,nan,24.707521438598633
9,4.3026585314295005,0.0,-199792.453125,4546.7255859375,14989.427734375,-199229.359375,4546.7255859375,0.0,68.06689453125,0.0,-5.10671854019165,67.87505340576172,0.0,0.0,19979244.0,4170.158203125,-1498942.75,19922936.0,4170.158203125,0.0,246665.5,4546.7255859375,-18495.65625,245707.921875,4546.7255859375,265.1421203613281,246544.5625,4546.5048828125,-18231.318359375,245602.53125,4546.5048828125,0.0,68.06689453125,-0.00012384627189021558,-5.10671854019165,67.87505340576172,-0.00012384625733830035,-0.04889697581529617,68.06664276123047,-0.0023821070790290833,-5.0083818435668945,67.88262939453125,-0.002384602092206478,False,False,89.82616424560547,73.13978576660156,nan,117.24092864990234
