test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance
0,0.0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-41.0,1000.0,0.0,-21.0,1000.0,-2138.708984375,52805.375,1000.0,4335.37353515625,25790.234375,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.10907424986362457,99.99918365478516,0.0,-0.10972551256418228,49.999000549316406,0.0,True,False,0,4473.0966796875
1,180.0,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3206.670166015625,13515.0634765625,1000.0,3206.670166015625,-13515.0634765625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3293125629425049,49.998291015625,0.0,-0.3293125629425049,-49.998291015625,0.0,True,False,0,6584.8701171875
2,180.0,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-6.5,1000.0,0.0,13.0,1000.0,-4324.25927734375,5202.642578125,1000.0,2159.2080078125,-21811.078125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.4368170201778412,49.99776840209961,0.0,-0.45215001702308655,-99.99830627441406,0.0,True,False,0,6646.17431640625
3,0.001,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,5.0,2000005.0,1000.0,-5.0,1999995.0,1000.0,0.0,-41.0,1000.0,0.0,-21.0,1000.0,-2138.708984375,52805.375,1000.0,4335.37353515625,25790.234375,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.10907424986362457,99.99918365478516,0.0,-0.10972551256418228,49.999000549316406,0.0,True,False,0,4473.0966796875
4,180.001,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3203.607666015625,13515.5634765625,1000.0,3203.607666015625,-13515.5634765625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3304942548274994,49.99824905395508,0.0,-0.3304942548274994,-49.99824905395508,0.0,True,False,0,6583.248046875
5,180.001,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-6.5,1000.0,0.0,13.0,1000.0,-4324.25927734375,5202.642578125,1000.0,2159.2080078125,-21811.078125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.4368170201778412,49.99776840209961,0.0,-0.45215001702308655,-99.99830627441406,0.0,True,False,0,6646.17431640625
6,37.26031967423364,0.0,-16516.986328125,2894.4833984375,10000.0,-13145.7529296875,2894.4833984375,0.0,34.21368408203125,0.0,-20.71424102783203,27.230430603027344,0.0,0.0,1651698.625,4772.55126953125,-1000000.0,1314575.25,4772.55126953125,0.0,-22.34979248046875,2917.86865234375,13.698516845703125,-7.887226104736328,2917.8681640625,-1437.38671875,43501.88671875,2969.677490234375,-27450.822265625,33753.02734375,2980.90966796875,0.0,34.21368408203125,0.037923987954854965,-20.71424102783203,27.230430603027344,0.03792479634284973,0.030537240207195282,34.21334457397461,0.03800692409276962,-20.69047737121582,27.248567581176758,0.03871244937181473,True,False,0,877.9479370117188
7,44.76394333841508,0.0,-14200.7626953125,2948.171630859375,10000.0,-10082.740234375,2948.171630859375,0.0,48.737579345703125,0.0,-34.320396423339844,34.604366302490234,0.0,0.0,1420076.25,2399.048828125,-1000000.0,1008274.0625,2399.048828125,0.0,-17.88045310974121,16385.73046875,19.443832397460938,-13.462658882141113,16385.732421875,1719.941650390625,33641.87109375,47703.734375,-24889.328125,27547.580078125,42551.79296875,0.0,34.56508255004883,34.35995864868164,-24.340091705322266,24.541534423828125,34.3602180480957,-0.04232433810830116,34.56826400756836,34.35602569580078,-24.390499114990234,24.530502319335938,34.33233642578125,True,False,0,3748.410888671875
8,52.90146295907264,0.0,-12537.623046875,1778.4482421875,10000.0,-7562.5390625,1778.4482421875,0.0,43.200809478759766,0.0,-34.45693588256836,26.05819320678711,0.0,0.0,1253762.375,2588.1640625,-1000000.0,756253.9375,2588.1640625,0.0,-24.33602523803711,1785.4886474609375,15.579626083374023,-11.900604248046875,1785.4886474609375,-2017.513671875,31208.994140625,1801.578857421875,-25952.82421875,17107.927734375,1805.8345947265625,0.0,43.200809478759766,0.02690364047884941,-34.45693588256836,26.05819320678711,0.02690410055220127,0.07192065566778183,43.2005500793457,0.027041088789701462,-34.41411590576172,26.114809036254883,0.028305018320679665,True,False,0,1746.5584716796875
9,58.6688788196853,0.0,-11707.181640625,1172.343505859375,10000.0,-6087.53759765625,1172.343505859375,0.0,80.79742431640625,0.0,-69.01526641845703,42.013301849365234,0.0,0.0,1170718.25,2102.46044921875,-1000000.0,608753.75,2102.46044921875,0.0,-20.98965835571289,1181.070068359375,17.343753814697266,-11.10504150390625,1181.070068359375,-2233.97509765625,28384.53125,1199.9398193359375,-25169.34765625,12708.728515625,1205.2047119140625,0.0,80.79742431640625,0.062184132635593414,-69.01526641845703,42.013301849365234,0.06218458339571953,0.15866011381149292,80.79700469970703,0.06242956966161728,-68.9328384399414,42.14838409423828,0.06478942185640335,True,False,0,2143.92431640625
