test_id,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance
0,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
1,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
2,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
3,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
4,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
5,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
6,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
7,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
8,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
9,0.0,0.0,1000.0,0.0,-100000.0,1000.0,150.0,-150.0,0.0,150.0,145.0,0.0,75000.0,-75000.0,1000.0,75000.0,-27500.0,1000.0,50821.5,-50821.5,1000.0,50821.5,-50841.3984375,1000.0,75742.453125,-75951.6796875,1000.0,74993.8671875,-27504.697265625,1000.0,150.0,-150.0,0.0,150.09474182128906,144.90179443359375,0.0,130.39256286621094,-167.32603454589844,0.0,164.2426300048828,128.64480590820312,0.0,True,False,255.8359375,4786.87109375
