test_id,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance
0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-41.0,1000.0,0.0,-21.0,1000.0,-2138.708984375,52805.375,1000.0,4335.37353515625,25790.234375,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.10907424986362457,99.99918365478516,0.0,-0.10972551256418228,49.999000549316406,0.0,True,False,49.5,4473.0966796875
1,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3206.670166015625,13515.0634765625,1000.0,3206.670166015625,-13515.0634765625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3293125629425049,49.998291015625,0.0,-0.3293125629425049,-49.998291015625,0.0,True,False,99.0,6584.8701171875
2,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-6.5,1000.0,0.0,13.0,1000.0,-4324.25927734375,5202.642578125,1000.0,2159.2080078125,-21811.078125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.4368170201778412,49.99776840209961,0.0,-0.45215001702308655,-99.99830627441406,0.0,True,False,148.5,6646.17431640625
3,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,5.0,2000005.0,1000.0,-5.0,1999995.0,1000.0,0.0,-41.0,1000.0,0.0,-21.0,1000.0,-2138.708984375,52805.375,1000.0,4335.37353515625,25790.234375,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.10907424986362457,99.99918365478516,0.0,-0.10972551256418228,49.999000549316406,0.0,True,False,49.5,4473.0966796875
4,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3203.607666015625,13515.5634765625,1000.0,3203.607666015625,-13515.5634765625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3304942548274994,49.99824905395508,0.0,-0.3304942548274994,-49.99824905395508,0.0,True,False,99.0,6583.248046875
5,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-6.5,1000.0,0.0,13.0,1000.0,-4324.25927734375,5202.642578125,1000.0,2159.2080078125,-21811.078125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.4368170201778412,49.99776840209961,0.0,-0.45215001702308655,-99.99830627441406,0.0,True,False,148.5,6646.17431640625
6,0.0,-49320.01953125,2269.48046875,10000.0,-48295.58984375,2269.48046875,0.0,94.3020248413086,0.0,-19.12043571472168,92.34327697753906,0.0,0.0,4932002.0,2546.075927734375,-1000000.0,4829559.0,2546.075927734375,0.0,-140.79425048828125,2269.48046875,19.090923309326172,-135.469482421875,2269.48046875,-462.89208984375,136115.375,2271.217041015625,-28066.021484375,132983.9375,2271.204345703125,0.0,94.3020248413086,0.003649009158834815,-19.12043571472168,92.34327697753906,0.0036490100901573896,0.007562053855508566,94.30174255371094,0.006905632093548775,-19.11180877685547,92.34502410888672,0.00689594866707921,True,False,33.36161422729492,61.36089324951172
7,0.0,-11870.8662109375,1971.7353515625,10000.0,-6396.6767578125,1971.7353515625,0.0,77.86576080322266,0.0,-65.59400177001953,41.9583625793457,0.0,0.0,1187086.625,5528.4052734375,-1000000.0,639667.6875,5528.4052734375,0.0,-20.686464309692383,2006.574951171875,17.38442039489746,-11.496949195861816,2006.5726318359375,-2185.7275390625,28968.908203125,2078.824462890625,-25347.927734375,13630.328125,2101.121337890625,0.0,77.86576080322266,0.22965732216835022,-65.59400177001953,41.9583625793457,0.22965751588344574,0.14733850955963135,77.864501953125,0.2305707037448883,-65.51457977294922,42.08164978027344,0.23156258463859558,True,False,33.498172760009766,2054.370849609375
8,0.0,-13048.09765625,3655.05029296875,10000.0,8381.697265625,3655.05029296875,0.0,67.33177185058594,0.0,-51.602752685546875,-43.251861572265625,0.0,0.0,1304809.75,4801.0498046875,-1000000.0,-838169.6875,4801.0498046875,0.0,-13.087252616882324,3664.446533203125,8.084951400756836,5.041062831878662,3664.446533203125,-4195.87353515625,15159.5849609375,3674.7451171875,-8172.12939453125,-12334.9609375,3676.779296875,0.0,67.33177185058594,0.05747707933187485,-51.602752685546875,-43.251861572265625,0.05747711658477783,0.21934755146503448,67.33123779296875,0.05762915313243866,-51.74395751953125,-43.083045959472656,0.05970539525151253,True,False,96.72672271728516,6138.177734375
9,0.0,-14353.0869140625,6042.21875,10000.0,10296.1689453125,6042.21875,0.0,43.02836608886719,0.0,-29.97847557067871,-30.86634635925293,0.0,0.0,1435308.75,3492.1162109375,-1000000.0,-1029616.9375,3492.1162109375,0.0,-10.012474060058594,19806.099609375,4.7193450927734375,9.26015567779541,19805.796875,-4296.37646484375,1749.13525390625,231433.59375,4309.12890625,-1735.320556640625,231433.59375,0.0,30.539377212524414,30.311491012573242,-21.27713966369629,-21.90732192993164,30.311599731445312,-28.694379806518555,10.444363594055176,30.314754486083984,-30.313764572143555,3.673955202102661,30.315048217773438,True,False,66.95927429199219,6255.32958984375
