test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance
0,0.0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-41.0,1000.0,0.0,-21.0,1000.0,-2138.708984375,52805.375,1000.0,4335.37353515625,25790.234375,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.10907424986362457,99.99918365478516,0.0,-0.10972551256418228,49.999000549316406,0.0,True,False,0,4473.0966796875
1,180.0,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3206.670166015625,13515.0634765625,1000.0,3206.670166015625,-13515.0634765625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3293125629425049,49.998291015625,0.0,-0.3293125629425049,-49.998291015625,0.0,True,False,0,6584.8701171875
2,180.0,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-6.5,1000.0,0.0,13.0,1000.0,-4324.25927734375,5202.642578125,1000.0,2159.2080078125,-21811.078125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.4368170201778412,49.99776840209961,0.0,-0.45215001702308655,-99.99830627441406,0.0,True,False,0,6646.17431640625
3,0.001,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,5.0,2000005.0,1000.0,-5.0,1999995.0,1000.0,0.0,-41.0,1000.0,0.0,-21.0,1000.0,-2138.708984375,52805.375,1000.0,4335.37353515625,25790.234375,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.10907424986362457,99.99918365478516,0.0,-0.10972551256418228,49.999000549316406,0.0,True,False,0,4473.0966796875
4,180.001,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3203.607666015625,13515.5634765625,1000.0,3203.607666015625,-13515.5634765625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3304942548274994,49.99824905395508,0.0,-0.3304942548274994,-49.99824905395508,0.0,True,False,0,6583.248046875
5,180.001,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-6.5,1000.0,0.0,13.0,1000.0,-4324.25927734375,5202.642578125,1000.0,2159.2080078125,-21811.078125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.4368170201778412,49.99776840209961,0.0,-0.45215001702308655,-99.99830627441406,0.0,True,False,0,6646.17431640625
6,1.019634013875117,0.0,-561954.625,2636.02978515625,10000.0,-561865.625,2636.02978515625,0.0,107.04483795166016,0.0,-1.9048662185668945,107.02788543701172,0.0,0.0,56195460.0,3844.502685546875,-1000000.0,56186564.0,3844.502685546875,0.0,361759.4375,2636.02978515625,-6498.408203125,358047.75,2636.02978515625,-41.174095153808594,361759.4375,2638.039794921875,-6466.17431640625,358047.75,2638.04296875,0.0,107.04483795166016,0.0004514483152888715,-1.9048662185668945,107.02788543701172,0.0004514477914199233,1.023179902404081e-05,107.04483795166016,0.004164271056652069,-1.905109167098999,107.02765655517578,0.004160395357757807,False,False,1823.9228515625,1824.6422119140625
7,40.89119732637936,0.0,-15275.9287109375,3939.699462890625,10000.0,-11547.900390625,3939.699462890625,0.0,104.6970443725586,0.0,-68.53726959228516,79.14615631103516,0.0,0.0,1527592.875,2451.6943359375,-1000000.0,1154790.0,2451.6943359375,0.0,-27.72730255126953,17871.451171875,19.610340118408203,-24.163715362548828,17870.712890625,1564.9501953125,-4313.64990234375,33715.546875,-13691.388671875,18251.87890625,28259.1015625,0.0,74.21289825439453,73.85063171386719,-48.58157730102539,56.10139083862305,73.85075378417969,-30.100553512573242,-68.06893157958984,73.63433074951172,-48.66388702392578,56.07505416870117,73.81656646728516,True,False,0,3474.793701171875
8,42.92073784431441,0.0,-14684.5908203125,4612.619140625,10000.0,-10753.4736328125,4612.619140625,0.0,52.756500244140625,0.0,-35.92643737792969,38.633399963378906,0.0,0.0,1468459.0,1265.3167724609375,-1000000.0,1075347.375,1265.3167724609375,0.0,-22.760391235351562,18642.447265625,13.214706420898438,-8.043127059936523,18642.076171875,-1669.2554931640625,22676.80078125,28173.24609375,1706.4405517578125,-4302.7255859375,33870.109375,0.0,37.44879150390625,37.15960693359375,-25.50201416015625,27.423540115356445,37.159725189208984,0.04308711364865303,37.421897888183594,37.18666458129883,6.872440338134766,-36.819339752197266,37.15241622924805,True,False,0,3224.763916015625
9,45.84244021235192,0.0,-13938.7041015625,3455.135498046875,10000.0,-9710.173828125,3455.135498046875,0.0,82.21746826171875,0.0,-58.985015869140625,57.27547073364258,0.0,0.0,1393870.375,4244.72265625,-1000000.0,971017.3125,4244.72265625,0.0,-23.7474365234375,3463.306884765625,18.662687301635742,-16.7392578125,3463.306396484375,-1764.72021484375,35657.43359375,3481.53857421875,-26742.86328125,23498.6171875,3486.197509765625,0.0,82.21746826171875,0.04468691349029541,-58.985015869140625,57.27547073364258,0.044687140733003616,0.10614238679409027,82.21675109863281,0.044826313853263855,-58.90960693359375,57.353275299072266,0.04734102264046669,True,False,0,1330.08251953125
