test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance,miss_distance_at_closest_approach_if_no_avoidance,miss_distance_at_closest_approach_if_avoidance
0,0.0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-50.0,1000.0,0.0,-30.0,1000.0,-2132.39599609375,52823.1015625,1000.0,4311.4697265625,25798.25,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.31114494800567627,99.99895477294922,0.0,0.3200816214084625,49.99880599975586,0.0,True,False,0,4473.615234375,nan,0.0
1,180.0,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3182.40087890625,13524.2431640625,1000.0,3182.40087890625,-13524.2431640625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3919987976551056,49.998111724853516,0.0,-0.3919987976551056,-49.998111724853516,0.0,True,False,0,6536.73291015625,nan,0.0
2,180.0,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-5.0,1000.0,0.0,10.0,1000.0,-4329.02001953125,5208.23046875,1000.0,2156.82958984375,-21810.06640625,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.5207563042640686,49.99713897705078,0.0,-0.45241692662239075,-99.998779296875,0.0,True,False,0,6644.912109375,nan,0.0
3,0.001,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,5.0,2000005.0,1000.0,-5.0,1999995.0,1000.0,0.0,-50.0,1000.0,0.0,-30.0,1000.0,-2132.39599609375,52823.1015625,1000.0,4311.4697265625,25798.25,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.31114494800567627,99.99895477294922,0.0,0.3200816214084625,49.99880599975586,0.0,True,False,0,4473.615234375,nan,0.0
4,180.001,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3182.40087890625,13524.2431640625,1000.0,3182.40087890625,-13524.2431640625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3919987976551056,49.998111724853516,0.0,-0.3919987976551056,-49.998111724853516,0.0,True,False,0,6536.73291015625,nan,0.0
5,180.001,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,5.0,500005.0,1000.0,-5.0,-500005.0,1000.0,0.0,-5.0,1000.0,0.0,10.0,1000.0,-4329.02001953125,5208.23046875,1000.0,2156.82958984375,-21810.06640625,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.5207563042640686,49.99713897705078,0.0,-0.45241692662239075,-99.998779296875,0.0,True,False,0,6644.912109375,nan,0.0
6,1.994881918574246,0.0,-287271.9375,4016.93896484375,10000.0,-287097.8125,4016.93896484375,0.0,70.96298217773438,0.0,-2.4702372550964355,70.91997528076172,0.0,0.0,28727192.0,2843.24658203125,-1000000.0,28709782.0,2843.24658203125,0.0,337963.28125,593916.9375,-11777.3720703125,338038.625,593916.875,-98.68482971191406,4285.56103515625,593916.9375,74.64874267578125,-4325.64501953125,593916.875,0.0,51.555519104003906,48.76241683959961,-1.7946834564208984,51.525203704833984,48.76142883300781,-16.180402755737305,48.94969940185547,48.76310729980469,-50.76873779296875,-8.937771797180176,48.767818450927734,False,False,122.34087371826172,164.63894653320312,nan,13.954133033752441
7,2.6676893471901852,0.0,-214854.421875,1189.7354736328125,10000.0,-214621.578125,1189.7354736328125,0.0,109.74443817138672,0.0,-5.107851028442383,109.62550354003906,0.0,0.0,21485442.0,2991.308837890625,-1000000.0,21462158.0,2991.308837890625,0.0,596300.625,1243.8670654296875,-27775.490234375,595797.375,1243.8670654296875,-0.25681832432746887,594199.0625,1287.3980712890625,-27776.390625,593711.6875,1263.89892578125,0.0,109.74443817138672,0.007349061779677868,-5.107851028442383,109.62550354003906,0.007349063642323017,0.21582557260990143,109.74375915527344,0.010815899819135666,-4.78241491317749,109.64022064208984,0.01096518523991108,False,False,69.20389556884766,67.49295806884766,nan,17.367202758789062
8,5.328873578224785,0.0,-107674.6640625,4188.57666015625,10000.0,-107209.296875,4188.57666015625,0.0,98.06310272216797,0.0,-9.107352256774902,97.6392822265625,0.0,0.0,10767466.0,2420.467529296875,-1000000.0,10720929.0,2420.467529296875,0.0,-208.88841247558594,102507.3515625,19.579051971435547,-207.85659790039062,102507.5859375,-163.65145874023438,4496.779296875,812238.875,215.7099151611328,-4463.34912109375,812239.0,0.0,71.87966918945312,66.7059555053711,-6.675368785858154,71.57015991210938,66.70476531982422,41.67472839355469,58.55601501464844,66.71376037597656,71.71894073486328,-4.7620439529418945,66.70805358886719,True,False,0,397.6431579589844,nan,4.769773483276367
9,7.4368237698342785,0.0,-77260.1015625,4588.8662109375,10000.0,-76610.203125,4588.8662109375,0.0,44.47978973388672,0.0,-5.757148742675781,44.10563278198242,0.0,0.0,7726010.0,2127.7578125,-1000000.0,7661020.5,2127.7578125,0.0,-114.88360595703125,77205.6640625,15.876274108886719,-126.94192504882812,77205.6796875,283.2278747558594,203702.5,205341.78125,-26467.08984375,205471.28125,198059.734375,0.0,32.26091003417969,30.62164878845215,-4.175643444061279,31.989439010620117,30.621753692626953,0.021928949281573296,32.418968200683594,30.452863693237305,-4.167492389678955,32.30693435668945,30.28833770751953,True,False,0,516.9425659179688,nan,2.6187939643859863
10,7.470245259885526,0.0,-76916.390625,2436.601318359375,10000.0,-76263.5625,2436.601318359375,0.0,118.85957336425781,0.0,-15.453086853027344,117.85075378417969,0.0,0.0,7691639.0,1553.517333984375,-1000000.0,7626356.5,1553.517333984375,0.0,-149.61294555664062,73692.5703125,18.397085189819336,-143.9488525390625,73692.390625,276.533935546875,210898.0625,212100.40625,-27233.4453125,209872.171875,208374.765625,0.0,86.06773376464844,81.97525787353516,-11.190207481384277,85.33721160888672,81.97523498535156,-0.003272920148447156,86.55415344238281,81.46150207519531,-11.313641548156738,85.03982543945312,82.26626586914062,True,False,0,660.7554931640625,nan,0.275139719247818
11,7.4792570834079415,0.0,-76824.2421875,1617.7637939453125,10000.0,-76170.625,1617.7637939453125,0.0,44.91148376464844,0.0,-5.846004009246826,44.52937698364258,0.0,0.0,7682424.0,2805.29931640625,-1000000.0,7617062.5,2805.29931640625,0.0,-148.80633544921875,1628.1749267578125,19.678516387939453,-151.532470703125,1628.1749267578125,289.4679870605469,214843.296875,1664.001220703125,-27441.9140625,213195.0,1656.8218994140625,0.0,44.91148376464844,0.006116294767707586,-5.846004009246826,44.52937698364258,0.006116291042417288,-0.0767955332994461,44.910736083984375,0.0076281484216451645,-5.9318156242370605,44.51772689819336,0.006153995171189308,True,False,0,32.512672424316406,nan,1.07855224609375
12,8.679653951621049,0.0,-66264.75,2323.401123046875,10000.0,-65505.859375,2323.401123046875,0.0,67.9600830078125,0.0,-10.255842208862305,67.18177795410156,0.0,0.0,6626475.5,3148.705078125,-1000000.0,6550586.0,3148.705078125,0.0,-113.07003784179688,2330.520263671875,18.959266662597656,-114.0721206665039,2330.520263671875,311.53369140625,183843.078125,2350.63720703125,-27392.23828125,181781.171875,2349.91162109375,0.0,67.9600830078125,0.007246814668178558,-10.255842208862305,67.18177795410156,0.007246807217597961,0.08041568845510483,67.95906829833984,0.008504156954586506,-10.25838565826416,67.18083953857422,0.0072873723693192005,True,False,0,47.217140197753906,nan,0.2303466796875
13,9.14922078005548,0.0,-62890.60546875,3593.92626953125,10000.0,-62090.484375,3593.92626953125,0.0,126.65095520019531,0.0,-20.138294219970703,125.03964233398438,0.0,0.0,6289060.5,3387.314453125,-1000000.0,6209048.5,3387.314453125,0.0,-121.6025619506836,59671.54296875,19.400508880615234,-117.05747985839844,59672.05078125,-316.3994140625,168350.21875,164236.3125,-26615.314453125,163006.4375,171415.96875,0.0,92.79063415527344,86.19955444335938,-14.753613471984863,91.61152648925781,86.19815826416016,0.29924309253692627,92.07929992675781,86.95779418945312,-14.569541931152344,90.49468231201172,87.40082550048828,True,False,0,863.0858154296875,nan,0.5128480195999146
14,11.06439176369543,0.0,-52107.1953125,3421.760986328125,10000.0,-51138.6328125,3421.760986328125,0.0,67.5501480102539,0.0,-12.963688850402832,66.2945327758789,0.0,0.0,5210719.5,4464.94140625,-1000000.0,5113863.5,4464.94140625,0.0,-101.67070007324219,3431.14208984375,19.80872344970703,-100.871826171875,3431.14208984375,-391.4660949707031,143917.359375,3456.18603515625,-28035.845703125,141170.171875,3463.57177734375,0.0,67.5501480102539,0.01224823109805584,-12.963688850402832,66.2945327758789,0.012248214334249496,0.22292909026145935,67.54893493652344,0.012323259375989437,-12.95761489868164,66.2956771850586,0.01350825373083353,True,False,0,78.02164459228516,nan,0.31298828125
15,11.967825522522661,0.0,-48224.75390625,1044.823486328125,10000.0,-47176.55078125,1044.823486328125,0.0,60.04659652709961,0.0,-12.451404571533203,58.741432189941406,0.0,0.0,4822475.5,4375.17041015625,-1000000.0,4717655.0,4375.17041015625,0.0,-88.94840240478516,1077.0479736328125,19.12921142578125,-85.2198486328125,1077.0439453125,-471.4305419921875,133305.375,1163.1461181640625,-28089.361328125,130300.6640625,1172.3270263671875,0.0,60.04659652709961,0.040035687386989594,-12.451404571533203,58.741432189941406,0.040035661309957504,0.00533508462831378,60.04637145996094,0.040109749883413315,-12.51730728149414,58.72747039794922,0.042011816054582596,True,False,0,94.36262512207031,nan,1.0216064453125
